Company,Vision
H.J. Heinz Company," To be ""THE WORLD'S PREMIER FOOD COMPANY, OFFERING NUTRITIOUS, SUPERIOR TASTING FOODS TO PEOPLE EVERYWHERE."" Being the premier food company does not mean being the biggest but it does mean being the best in terms of consumer value, customer service, employee talent, and consistent and predictable growth. We are well on our way to realizing this Vision but there is more we must do to fully achieve it."
Newell Rubbermaid Inc.," To be a global company of Brands That Matter and great people, known for best-in-class results."
"Lowe's Companies, Inc."," To be our Customers' first choice for home improvement in each and every market we serve. To earn our Customers' trust and meet their individual needs, we will provide valued solutions with the best prices, products and services that make our Customers' lives easier."
TRW Automotive Holdings Corp.," To be the global leader in active and passive safety systems is built on a foundation of trust – trust in our products, our people and their integrity. Drivers and passengers rely on us and our products every day on roadways all over the world to help protect their most precious possession – their lives and that of their families. Confidence in our products goes hand-in-hand with trust in our people. That trust extends to every one of us representing TRW and it must be honored by holding ourselves to the highest standards of legal and ethical conduct."
"Kelly Services, Inc.", To be the world’s best staffing services company and to be recognized as the best. 
Northeast Utilities," To become the highest performing regional provider of energy products and services, strengthening our region’s security, stability and vitality."
"The TJX Companies, Inc."," To grow TJX as a global off-price/value company. Delivering on this vision takes the talent and
efforts of each of our Associates, working with the highest ethical standards and supporting the sound principles of integrity and fairness on which TJX was founded. Corporate governance represents the practices under which our Board of Directors provides oversight and our senior management provides leadership, as we execute our corporate mission to deliver a rapidly changing assortment of quality, brand name merchandise at prices that are 20-60% less than department and specialty store regular prices, every day."
"Agilent Technologies, Inc.", To provide key enabling technologies to advance the state of the art and help our customers achieve their business results.
Oracle Corporation," To seek  being genuine intersections between  the needs of society and the goals of our  company, and make investments that  benefit both. Integral to this vision is a commitment to support communities around the world where Oracle  has employees. By combining our
resources, strengths, and technology with those of our partners, we can make a visible difference.                                                                                                                                                                           "
General Motors Company," vision is to be the world leader in transportation products and
related services. We will earn our customers’ enthusiasm through
continuous improvement driven by the integrity, teamwork and innovation
of GM people. Becoming the best is an unending journey, a constantly
changing destination. But that’s where we’re determined to drive – one
car, one truck, one customer at a time."
Western & Southern Mutual Holding Company," vision is to continue our evolution into a financial services powerhouse that capitalizes on our position of incredible financial strength in order to be a highly respected, world-class (and best in class) financial services organization. We will provide real value to all stakeholders and be a high performance enterprise which is a true leader in every sense of the word. Ultimately, we are positioning ourselves to be the absolute best at everything we do in our pursuit of excellence. We will go from ""Good to Great."" At the end of the day we want to be an extraordinary personal financial services organization. • Our fresh water approach to the business: If we outdream + out think + out work + out do = we will outperform"
The Timken Company, We are dedicated to improving our customers' performance by applying our knowledge of friction management and power transmission to delivered unparalleled value and innovation all around the world. 
"Advanced Micro Devices, Inc."," We at AMD share a vision of a world that is enhanced through information technology, which liberates the human mind and spirit. AMD is a leading supplier of critical enabling technology for the Information Age. In concert with our customers, we empower people everywhere to
lead more productive lives by creating, processing, and communicating information and knowledge. We are our customers' favorite integrated circuit supplier. With a strong commitment to our core values and mission, we anticipate and respond quickly to changing customer needs
while preserving a culture that brings out the best in each of us."
United Refining Company," We fuel cars, trucks, airplanes, and farm and construction equipment, as well as the homes and industries in one of America's largest concentrations of people and commerce. "
"Consolidated Edison, Inc."," we provide our customers and the public with efficient, clean, and sustainable energy, and model green behavior internally. To achieve this, we partner with stakeholders, including customers, community members, public officials, and employees, to promote and support energy efficient buildings, clean fuels, and renewable energy, along with electric-powered and alternative-energy powered transportation."
Starbucks Corporation,"
To inspire and nurture the human spirit one person, one cup and oneneighborhood at a time."
"HCP, Inc.","
We strive to create shareholder value by providing real estate, capital and innovation to our partnersand employees to ensure that our facilities integrate
sustainable business practices to operate efficiently and support the healthcare industry."
Lockheed Martin Corporation,"1. A leader in systems integration and high technology products and services
2. Core aerospace and defence markets
3. Select civil and commercial markets
4. Expand UK employment, exports and the technology base
5. Provide excellent financial returns"
"CH2M HILL Companies, Ltd.","1. Best place to work and best client experience.
2. Most respected company in our industry."
Clearwater Paper Corporation,"1. Indispensable to customers.
2. Sustainable to the world.
3. Responsible to our employees and communities.
4. Value creators for our investors.
5. Make a difference.
"
"NextEra Energy, Inc.","1. Largest clean energy provider in the U.S.
2. FPL: the best utility in the U.S.
2.1. Customer value
2.2. Operations
2.3. Regulatory environment
3. Energy Resources: highly profitable competitive energy supplier.
"
"Maxim Integrated Products, Inc.","1. Make cars safer.
2. Make energy smarter.
3. Make technology more mobile.
4. Make the world even more connected.
5. Make a difference with Maxim Integrated."
"TreeHouse Foods, Inc.","1. May our TreeHouse stand straight and true, rising above branded ancients as the towering symbol of the best in customer brands and custom products.
2. May our TreeHousehold of many cultures expand and prosper through all seasons, united in uncommon customer devotion and unlimited resolve to win.
3.May our TreeHouse endure the test of time, ever growing strong and standing tall."
Lam Research Corporation,"1. Number one in customer trust.
2. Number one in market share.
3. A company where successful people want to work.
4. Best-in-class products and services.
5. Financial performance to fund the solutions our customers require and provide the return our shareholders expect."
"Alpha Natural Resources, Inc.","1. Running Right it's what we do. -> We protect the safety and health of our employees, and watch out for one another.  Every employee is empowered to do the right thing at all times.
2. We aim to be the employer of choice. -> We provide a challenging work environment, where hard work and achievement are rewarded.  The more our people are involved, the more successful we become.
We're in it for our customers.
We build relationships with our customers by providing essential products and services that exceed their expectations.
We make a difference.
We demonstrate environmental excellence through operating practices that respect the land and minimize our impact on it.  We add to our communities by creating jobs, supporting local organizations and helping our neighbors.
When we put it all together, everyone wins.
We deliver consistent, industry leading financial results and earn the confidence of our shareholders, customers, employees and communities.
We're ready for the future.
We continually assess opportunities and risks to ensure we have options and a strategy to succeed.  We anticipate changes in the marketplace, and maintain the ability to move swiftly."
"Church & Dwight Co., Inc.","1. Skills and Behaviors
2. Scientific Innovation
3. Employee Giving Fund
4. Sustainability
5. Corporate Responsibility."
ON Semiconductor Corporation,"1. Understand our customers' needs and satisfy them.
2. Work as a team to build lasting customer relationships by understanding their requirements and exceeding their expectations.
3. Hire good people and empower them.
"
Xylem Inc.,"1. We devote our technology, time and talent to advance the smarter use of water.
2.We look to a future where global water issues do not exist."
BorgWarner Inc.,"A Clean, Energy-Efficient World."
Time Warner Inc.,A clear sustainability vision that demonstrates the ways corporate responsibility is embedded in the company's overall business strategy. 
"The Goldman Sachs Group, Inc.","A commitment to integrity, team work and the pursuit of excellence is at the core of everything we do.  "
Kennametal Inc.,"A customermarket driven enterprise that distinguishes ourselves by partnering to deliver value, growth and productivity solutions at our Customers, consistent returns to shareholders and rewarding careers to employees."
"Rush Enterprises, Inc.","A growth-oriented provider of commercial equipment and services recognized for excellent management, lasting relationships, dedicated people, and financial success.
 "
"CA, Inc.","A performance-driven, transparent and accountable organization that values its people, resources and partners, and meets new challenges through leadership, innovation and teamwork."
"Fred's, Inc.",A smile on every customer's face.
MasterCard Incorporated,A world beyond cash.
Deere & Company,"Achieve excellence in the minds of our customers, team members, and John Deere."
"Republic Services, Inc.",Achieving high levels of waste stream reduction with keen sensitivity to economic and environmental factors.
The Mosaic Company,"Across the globe, our employees adhere to the same company-wide values. This common sense of purpose and responsibility ensures that we approach our work with a shared goal."
Teradata Corporation,"Active Enterprise Intelligence enabling companies to integrate data from across the enterprise and extend intelligence to front line workers, suppliers, and customers. Faster, smarter, and more decision makers to gain competitive advantage. "
"Automatic Data Processing, Inc.","ADP's business is based on the belief that: Each client and prospect counts; each person counts; each deed counts; and each contact between a client or a prospect and an associate counts. Each client and prospect is either prospective future business or a prospective loss…depending upon the quality, reliability, and responsiveness of our products, services, and associates."
"Hospira, Inc.",Advancing Wellness through the right people and the right products.
AECOM Technology Corporation,"AECOM is in the process of establishing a FORS Governance Board of key industry stakeholders, which will include TfL. FORS awards bronze, silver and gold accreditation to road fleet operators that provide evidence of enhanced safety, environmental and performance standards."
Aetna Inc.,"Aetna will be a leader cooperating with doctors and hospitals, employers, patients, public officials and others to build a stronger, more effective health care system."
Swift Transportation Company,"An efficient and nimble world class service organization that is focused on the customer. We are aligned and working together at all levels to achieve our common goals. Safety
Ethics ,Respect,Balance,Winning Attitude, Communication ,Development,Teamwork,Change
Initiative, Accountability,Trust,Charity."
"American Electric Power Company, Inc.","An energy leader through programs and technologies that protect people, manage our impacts on the environment, promote energy efficiency, provide for customer control over electricity usage and provide for greater access to renewable forms of energy and advanced clean energy technologies. We will work with our regulators and other stakeholders to achieve this through an approach that maximizes the positive economic, social and environmental impacts of our operations."
Realogy Holdings Corporation,As a global real estate and relocation services leader.
"CF Industries Holdings, Inc.","As a leading global marketer, producer and supplier of high-quality, low-cost fertilizer products and services, creating sustained value for shareholders, customers and employees."
Comcast Corporation,"As Comcast evolves, we continue to look to the future - seeking out new communications technology, new opportunities, and more choices. We want to continue to provide people with the communications products and services that connect them to what’s important in their lives."
"Barnes & Noble, Inc.","As digital and online sales accelerate, Barnes & Noble remains well positioned to gain
a significant share of these exciting new markets."
Granite Construction Incorporated,"As one of the largest diversified heavy civil contractors and construction materials producers in the United States, we strive to provide our customers with the highest standards of quality, value, and service on every project.
"
Corning Incorporated,"As we continue our Diversity Journey, Corning looks to the future with confidence. We remain steadfast in our commitment to leverage the key strands of our Diversity DNA: operate with a Global Mindset, support a Culture of Collaboration, foster a Passion for Learning, encourage Employee Development and Value The Individual. Along with our corporate Values and operating principles, these are the elements that will guide us through the inevitable changes that lie ahead.Corning embraces change as a force that will lead us boldly into the future, and we will continue to welcome the challenge to pursue markets where our strength in innovation can make a difference. We have a rich history of adapting to and prevailing over changing market conditions in ways that ultimately benefit our customers, ourselves and society at large. Diversity and inclusion are integral to our legacy."
Colgate-Palmolive Company,"As we plan our strategies to sustain growth for the years to come, our core values of Caring, Global Teamwork and Continuous Improvement will continue to drive our future initiatives."
Con-way Inc.,"At Con-way, our employees are our greatest competitive advantage. By focusing on our values, we will realize the vision of making Con-way our customers' greatest competitive advantage in global supply chain services."
Harbinger Group Inc.,"At Harbinger we thrive on innovation, partnership and excellence. Transparency, trust and respect for the individual are the hallmarks of our culture. Our core values remain ‘Innovate, Partner and Excel’. The Harbinger philosophy is to create value for its clients through a culture of continuous learning."
Marathon Oil Corporation,"At Marathon, our vision is to be recognized as a pacesetter in creating sustainable value growth through innovative energy solutions and unique partnerships. To realize this vision, we are applying a differentiated business model that takes us beyond a conventional integrated oil
business."
Pinnacle Foods Finance LLC,"At Pinnacle Foods we are creating our future through our innovative R&D, inspired marketing, passionate employees, and close ties to our customers and consumers. We've got a lot cooking, and we can't wait to show you what's next."
"Westar Energy, Inc.","At Westar Energy, we are committed to operating a safe, reliable, open and innovative electric utility with uncompromising integrity.We will provide first-class service to our customers, and, given the choice, they will not hesitate to choose us.We will be a friendly, caring neighbor and business partner worthy of trust.Westar Energy will be a thriving, positive environment where employees are proud to work, diversity is celebrated and all are treated with respect.Talent and leadership of all employees will set industry standards of excellence that foster job security.
We will be a premier utility investment opportunity.Our financially balanced organization will deliver consistent returns to our investors.By partnering with our communities, Westar Energy will be an outstanding model of civic leadership and environmental stewardship. All of us working together will make Kansas a better place to live."
"The Pep Boys - Manny, Moe & Jack",Automotive Solutions Provider of Choice for the Value Oriented Customer.
Avaya Inc.,"Avaya's vision addresses the challenges businesses have faced in creating solutions for computer-telephony integration, communications-enabled business processes and other advanced, integrated collaboration solutions. With few exceptions, proprietary solutions, fragmented development tools, and increased complexity have hindered the industry from fulfilling the full promise of advanced collaboration."
Jarden Corporation,"Be a leading global consumer products company built around a dynamic portfolio of differentiated, world-class brands and winning people dedicated to delivering outstanding financial performance to investors and customers by consistently providing superior value and innovation to our consumers."
Xcel Energy Inc.,"Be a responsible environmental leader, while always focusing on our core business—reliable and safe energy at a reasonable cost."
Amgen Inc.,"Be Science-Based,Compete Intensely and Win,Create Value for Patients, Staff and Stockholders
Be Ethical,Trust and Respect Each Other,Ensure Quality,Work in Teams,Collaborate, Communicate and Be Accountable by These values we are achieving our Goal.
 "
Pool Corporation,"Be the best worldwide distributor of outdoor lifestyle products that include all products relating to swimming pools, irrigation and other products that enhance the quality of outdoor home life. "
Celanese Corporation,Be the first-choice chemistry solution source for our customers.
"FMC Technologies, Inc.","Be the one, We will be the undisputed leader in our markets, recognized for setting the technical and performance standards in all of our businesses and for creating customer success."
"CBRE Group, Inc.","Be the preeminent, vertically integrated global commercial real estate services and investment firm serving our clients with market-leading collaboration."
MRC Global Inc.,Be the world’s premier distribution company of PVF products and services to the energy and industrial markets.
Computer Sciences Corporation,"Because applications embed business processes and are enabled by technologies that are rapidly advancing, CSC believes that applications hold the greatest potential in the technology stack for creating business value and competitive advantage for our clients. CSC’s proposition is to transform applications to take full advantage of these advances. For most clients, this means transforming applications that are built on client-owned, non-industry-specific and highly customized packages, into a set of differentiated industry-specific, industrialized and component-based, virtual business services that drive business value."
"Weis Markets, Inc.",Become the #1 supermarket in our communities by offering the most inviting buying environment in the industry while saving our customer time and money and building our brand to premier status.
DeVry Inc.,"Become the leading global provider of career-oriented educational services. We will create value for society and all our stakeholders by offering:
superior, responsive educational programs, that are
supported by exceptional service to students, and
delivered with integrity and accountability."
"Becton, Dickinson and Company","Become the organization most known for eliminating unnecessary suffering and death from disease, and in so doing, become one of the best performing companies in the world."
World Fuel Services Corporation,"Become the world’s leading integrated provider of credit, finance, services, and logistics to the energy and transportation markets. Build a world-class organization that drives sustained growth through a high performance culture and entrepreneurial agility.

"
Public Service Enterprise Group Incorporated,"being a recnoiged leader for people providing, safe reliable ,economic and greener energy."
"Magellan Health Services, Inc.",Better and more affordable care for individuals that have the greatest health care needs. Our complete-person perspective helps us deliver better outcomes and brighter futures.
"BlackRock, Inc.","BlackRock is committed to building long-term relationships by providing superior performance, excellent client service, and customized products and services to meet individual client needs. We continually and carefully evaluate new products and disciplines based upon market opportunities, investor needs, and their strategic fit with BlackRock's existing organization."
The Kroger Company,"Build lifetime loyal customers with our exclusive, preferred brands"
Momentive Performance Materials Inc.,"Building Momentive into a best-in-class specialty chemicals and materials company in the region by combining global technology, application development, manufacturing and service capabilities with outstanding products and services."
Silgan Holdings Inc.,"By fielding the best teams, focusing them on identifying and fulfilling the unique needs of our customers and remaining disciplined in our investments, we are confident we will continue to outperform our sector and win in our markets."
Centene Corporation,"By taking a local approach, we have a stake in working with our partners to build healthier, stronger communities."
CACI International Inc.,"CACI is committed to high ethical standards, diversity, and inclusion, as well as equal employment opportunities in all personnel actions without regard to race, color, religion, gender, national origin, citizenship status, age, marital status, gender identity or expression, sexual orientation, physical or mental disability, or veteran status."
Chesapeake Energy Corporation,"Chesapeake values continuous improvement and ongoing learning and development. We encourage employees to enhance their skills, prepare for advancements and adopt best practices through continuing education, training and strategic career paths. All employees have the opportunity for regular check-ins with their supervisor regarding career path and development opportunities. Employees benefit from a generous tuition reimbursement program as well as training paths designed for both individual contributors and leadership positions."
The Hershey Company,"Commitment to consumers, community and children, we provide high-quality products while conducting our business in a socially responsible and environmentally sustainable manner."
Harris Corporation,"Committed  to providing Small Business, Small Disadvantaged Business, Women-Owned Small Business, HUBZone Small Business, Veteran-Owned Small Business, and Service Disabled, Veteran-Owned Small Business Concerns, maximum opportunity to participate as suppliers of materials and services purchased by Harris."
"Harman International Industries, Incorporated","Committed to achieving industry leadership in market impact, shareholder value creation, and profitable growth. We will delight our customers by delivering innovation and operational excellence with the highest integrity."
Baxter International Inc.,"Committed to being a recognized, trusted and a preferred partner in improving the quality of and access to healthcare, a leader in the market, a rewarding place to work, and a socially responsible member of the community. "
Johnson & Johnson,"Company committed to transforming the world's vision. Since our inception, we have strived to increase awareness about the importance of vision and vision care and to provide the world's most exceptional vision correction options. We believe in providing superior solutions for vision correction to doctors so that they can unleash their full potential and help patients live a life without compromise."
Auto-Owners Insurance Group,"Comprised of five property and casualty companies and one life/health/annuity insurer, the group is recognized for exceptional financial strength and stability among the nation's largest insurers."
Lennar Corporation,"Conduct our business with the highest degree of integrity, pride, passion and professionalism.
Provide each and every Customer with unparalleled quality, service and value.
Strive for continuous improvement in an atmosphere of creativity, teamwork and trust.
Emphasize the Company benefit and contribution to the team effort above individual recognition.
Work efficiently to provide the greatest return to our Shareholders."
Broadcom Corporation,Connecting everything  with a focus on Internet of Things (IoT) applications demonstrated by Broadcom and its partners.
"WGL Holdings, Inc.",Consistent and clear throughout our business to be the preferred source of clean and efficient energy solutions.
JetBlue Airways Corporation,"Continue to grow, we know our commitment to friendly, helpful service, combined with amenities customers want, will continue to keep JetBlue #1 in the eyes of our customers."
"Dominion Resources, Inc.","Continue to operate and grow to an even more substantial position as a profitable natural gas and electric power company serving customers in America’s most energy-intensive market: the Mid-Atlantic, Northeast and Midwest. The region comprises about a quarter of the nation’s landmass, but it accounts for about 40 percent of the energy consumed."
Beam Inc.,Crafting Spirits that Stir the World.
Intel Corporation,Create and extend computing technology to connect and enrich the life of every person on Earth.
Pinnacle West Capital Corporation,Creating a sustainable energy future for Arizona.
"Valassis Communications, Inc.",Creating the future of intelligent media delivery to drive your greatest success.
"US Airways Group, Inc.","Customer service has always been a priority at US Airways, and we are committed to making every flight count for our valued customers."
Global Partners LP,"Customers benefit from our vast experience in energy markets and our dedication to meeting their needs. Global has a proven record of supplying product under difficult market conditions. Our expertise in traditional and emerging fuel markets enables us to be at the forefront of competitive, reliable energy supply."
Rite Aid Corporation,Customers confidently choose us first for their everyday health and wellness needs because we consistently understand and exceed their expectations.
"Lexmark International, Inc.","Customers For Life. To earn our customers' loyalty, we must listen to them, anticipate their needs and act to create value in their eyes.We want to be known for reliability, flexibility, responsiveness, innovative products and services and exemplary citizenship. Growth, longevity and financial success will naturally follow.We will make this happen in an enriching environment of trust, cooperation and mutual respect."
Quest Diagnostics Incorporated,Dedicated people improving the health of patients through unsurpassed diagnostic insights and innovation.
AK Steel Holding Corporation,"Dedicated to safely producing the highest quality steel products for our customers, delivering them on-time and providing them with outstanding service."
News Corporation,Delivering extraordinary experiences for our customers and consumers is at the heart of who we are.
Cytec Industries Inc.,"Delivering Technology Beyond Our Customers’ Imagination®
As a result, we will:
• Achieve sustainable and profitable growth
• Provide a culture that challenges, engages and rewards our employees
• Be universally recognized as the technology leader in our markets
• Positively impact society."
Dell Inc.,Dell is committed to being a good neighbor in the communities we call home. We must continue to grow responsibly  protecting our natural resources and practicing sustainability in all its forms and improve the communities where we live and work through our financial and volunteer efforts.
Dollar General Corporation,"Demonstrating integrity in everything we do ,Providing employees the opportunity for growth and development, in a friendly and fun environment , Delivering results through hard work and a shared commitment to excellence , Celebrating success and recognizing the contribution of others 
Owning our actions and decisions and learning from our mistakes , Respecting the dignity and difference of others."
Cameron International Corporation,Developing and Dilevering closed loop solutionand single source accountability where they matter most.
R.R. Donnelley & Sons Company,"Diversity & Inclusion is a critical part of our culture driving business success and ensuring that all our employees feel they belong at RR Donnelley. Our customers, suppliers, and communities benefit from the wealth of ideas, innovations and focused solution."
"Dollar Tree, Inc.","Dollar Tree, Inc. is a customer-oriented, value-driven variety store operating at a one dollar price point. We will operate profitably, empower our associates to share in its opportunities, rewards and successes; and deal with others in an honest and considerate way. The company's mission will be consistent with measured and profitable growth."
"AutoNation, Inc.","Driven to be the Best - AutoNation's Driven to be the Best vision is based on a foundation of operational excellence that drives an uncompromising focus on the customer. This vision shapes a company that's continuously improving and setting industry standards in all that it seeks to achieve, from superior shopping experiences to market-leading brands, to unmatched scale advantages and productivity-boosting best practices."
Western Digital Corporation,Driving Value Through Strategic Initiatives.
The Charles Schwab Corporation,"Each employee is judged on ability and given the chance to reach maximum potential, regardless of race or gender."
Caesars Entertainment Corporation,Each of our brands will be the overwhelming first choice for casino entertainment of its targeted customers.
New Jersey Resources Corporation,"Employees, retirees and their families contributed over 5, hours of volunteer service to help support the important work of nonprofit organizations in our service territory."
"Airgas, Inc.",Employing leading-edge technologies and  systems that allow customers in multiple industries to engage with us  through the sales channel that is best suited for them.
"ProLogis, Inc.",Enduring excellence in global real estate.
"Energizer Holdings, Inc.","Energizer Holdings, Inc. (ENR) is a consumer goods company operating globally in the broad categories of household and personal care products. We currently offer solutions in portable power, lighting, wet shave and personal grooming, skin care, feminine care and infant care."
UGI Corporation,Energy and Ideas to Serve the Future.
"Energy Transfer Equity, L.P.",Energy Transfer has a vision with an end goal of a workplace that achieves an injury and incident free day every day.
"Bemis Company, Inc.","Equal, inclusive and responsive, in which people from diverse communities are actively participating without barriers, are valued, and treated with dignity and respect, where their opportunities, quality of life and citizenship are equal."
"Starwood Hotels & Resorts Worldwide, Inc.","Exceeding expectations, improving our communities, and celebrating diversity are all principles on which Starwood was built. We are continuously striving to show our commitment to these principles. One of these efforts is our Supplier Diversity Program aimed to maximize the contracting opportunities given to minority owned businesses. We recognize minority businesses are playing an ever-increasing positive role in the economy and communities in which we operate. By fostering lasting relationships with minority businesses, we strive to provide opportunities that are mutually beneficial to both parties."
"The PNC Financial Services Group, Inc.","Execute an industry leading Supplier Diversity and Development program using a ""best-in-class"" supplier diversity strategy."
"L-3 Communications Holdings, Inc.",Exellence you can measure.
Anixter International Inc.,"Expanding the role of traditional distribution through the constant expansion of product offerings, technical expertise and logistics and inventory services."
Hillshire Brands Company,Exponential inspiration.
FedEx Corporation,"FedEx is committed to providing outstanding customer experience, to being a great place to work, a thoughtful steward of the environment and a caring citizen in the communities where we live and work. At FedEx, we are passionate about sustainably connecting people and places and improving the quality of life around the world."
"Fidelity National Information Services, Inc.","Fidelity provides integrated, value-added products and services to help clients be market leaders. The company also delivers technology-based solutions and focuses on protecting the long-term technology investments of clients by ensuring quality, reliability and value. Fidelity further protects its clients' investments by understanding, anticipating and preparing for future industry needs and strategies and offering best-of-breed solutions."
Boyd Gaming Corporation,"Focused on creating long-term, sustainable growth for our shareholders. This philosophy defines and separates us from the competition, making us unique in our industry.
"
MGM Resorts International,"For centuries, plazas, squares and grand boulevards have served as important gathering places where people take in the sights, sounds and flavors of great cities. Enlivening one of the city's most exciting intersections, MGM Resorts will create an experience that encourages social interaction and one of Las Vegas' best-known pastimes – people-watching.
Providing opportunities for visitors to enjoy Las Vegas outdoors, this vibrant plaza will connect New York-New York and Monte Carlo as well as the newly announced arena on land behind the resorts. Construction will begin on the outdoor experiences at New York-New York and Monte Carlo in the coming weeks, with anticipated completion in early 2014.Jim Murren, Chairman and CEO of MGM Resorts International, said, ""All great cities offer vibrant pedestrian experiences, and Las Vegas is certainly no exception, as The Strip is one of the world's greatest boulevards. Our vision is to extend the excitement we traditionally create within our world-class resorts outside onto The Strip, and ultimately in an entertainment district leading to our new arena. To bring that vision to fruition, we have assembled a team recognized around the world for creating special venues and places."
"Belk, Inc.","For the modern Southern woman to count on Belk first. For her, for her family, for life."
General Electric Company,"From jet engines to power generation, financial services to plastics, and
medical imaging to news and information, GE people worldwide are
dedicated to turning imaginative ideas into leading products and services
that help solve some of the world's toughest problems."
General Dynamics Corporation,"General Dynamics focuses on creating shareholder value while delivering superior products and services to military, other government and commercial customers. The company emphasizes excellence in program management and continual improvement in all of its operations."
"Foot Locker, Inc.",Global diversification is a vital component of the Company's strategic positioning. This diversification is unique in the athletic footwear and apparel industry and provides many distinct advantages.
CIGNA Corporation,"Go Deep, Go Global, Go Individual."
"Smithfield Foods, Inc.",Good Food  Responsibly.
"Gardner Denver, Inc.","Greater organic growth, Operational excellence, Improved profitability, and cash flow. Improved return on invested capital."
Guardian Life Ins. Co. of America,"Guardian Life Insurance Co. of America meets BBB accreditation standards, which include a commitment to make a good faith effort to resolve any consumer complaints. BBB Accredited Businesses pay a fee for accreditation review/monitoring and for support of BBB services to the public."
"Harley-Davidson, Inc.",Harley-Davidson of Montgomery will become the premier Harley-Davidson dealership in the Southeast through continual employee education and training that shall provide the ultimate customer service experience. We will be the major contributing factor in the fun and enjoyment of riding.
"Hawaiian Holdings, Inc.",Hawaiian airlines To be the Number One destination carrier in the world.
"Health Net, Inc.",Health Net will be recognized as a great customer solutions company.
Vulcan Materials Company,Helping Build Stronger Communities.
Masco Corporation,Helping change the way homes are built.
Edwards Lifesciences Corporation,"Helping patients is our lifes work, and life is Now."
Aflac Incorporated,"Helping RMEF protect Elk Country by protecting RMEF supporters, their families & their employees. RMEF supporters that are business owners can make Aflac available to their employees, at no direct cost to their company. Individual Supporters of RMEF can enroll in Aflac policies to protect themselves & their families."
Education Management Corporation,Helping student to achieve their goal across the full spectrum of in-demand carrers.
Factory Mutual Insurance Company,Helping the world's largest companies prevent loss.
Abercrombie & Fitch Co.,High-quality merchandise that compliments the casual classic American lifestyle.
AGCO Corporation,High-tech solutions for professional farmers feeding the world.
